user_id,primary_device,primary_ip,primary_card,benign_share_group,benign_share_type
u_00093,d_006776,ip_001348,c_002771,none,none
u_00094,d_009751,ip_003705,c_000095,none,none
u_00095,d_007514,ip_001831,c_004283,none,none
u_00096,d_000728,ip_004396,c_001375,none,none
u_00097,d_007747,ip_003907,c_006887,none,none
u_00098,d_001439,ip_004838,c_003396,none,none
u_00099,d_005641,ip_003588,c_005453,none,none
u_00100,d_004885,ip_003686,c_003593,none,none
u_00101,d_003921,ip_003221,c_006886,none,none
u_00102,d_005481,ip_003765,c_001436,none,none
u_00103,d_001299,ip_006875,c_007457,none,none
u_00104,d_001194,ip_001463,c_002055,none,none
u_00105,d_000701,ip_006352,c_002730,none,none
u_00106,d_003199,ip_008074,c_002592,none,none
u_00107,d_006820,bip_002,c_003525,benign_002,office
u_00108,d_007656,ip_005537,c_008953,none,none
u_00109,d_009304,ip_002457,c_006730,none,none
u_00110,d_004683,ip_008654,c_000408,none,none
u_00111,d_001937,ip_004393,c_002069,none,none
u_00112,d_005756,ip_009891,c_005798,none,none
u_00113,d_006235,ip_005634,c_005002,none,none
u_00114,d_001618,ip_004167,c_000086,none,none
u_00115,d_001552,ip_009461,c_006137,none,none
u_00116,d_004365,ip_005629,c_001043,none,none
u_00117,d_001993,ip_007752,c_000662,none,none
u_00118,d_004841,ip_002961,c_000113,none,none
u_00119,d_009888,ip_005584,c_007590,none,none
u_00120,d_002970,rip_11_00,c_002757,none,none
u_00121,d_003298,ip_004020,c_000112,none,none
u_00122,d_007686,ip_001419,c_007054,none,none
u_00123,d_008563,ip_002964,c_007126,none,none
u_00124,d_002327,ip_008427,c_002318,none,none
u_00125,d_005010,ip_002930,c_008772,none,none
u_00126,d_004233,ip_004753,c_008542,none,none
u_00127,d_003399,ip_006212,c_002458,none,none
u_00128,d_008118,ip_002336,c_004651,none,none
u_00129,d_002491,ip_003561,c_008827,none,none
u_00130,d_008667,ip_005225,c_006374,none,none
u_00131,d_006591,ip_009720,c_002481,none,none
u_00132,d_007381,ip_007100,c_007663,none,none
u_00133,d_001183,ip_006568,c_007715,none,none
u_00134,d_008757,ip_002921,c_000859,none,none
u_00135,d_001812,ip_006762,c_003922,none,none
u_00136,d_007103,ip_010455,c_001242,none,none
u_00137,d_009927,ip_008516,c_005365,none,none
u_00138,d_003826,ip_003189,c_004496,none,none
u_00139,d_004684,ip_003180,c_005259,none,none
u_00140,d_006937,ip_007132,c_004128,none,none
u_00141,d_005576,ip_004019,c_001385,none,none
u_00142,d_001109,ip_004084,c_006458,none,none
u_00143,d_006109,ip_003820,c_008234,none,none
u_00144,d_003338,ip_001748,c_004290,none,none
u_00145,d_008014,ip_001735,c_004785,none,none
u_00146,d_005362,ip_005314,c_004852,none,none
u_00147,rd_12_00,rip_12_02,c_007930,none,none
u_00148,d_009680,ip_000387,c_008575,none,none
u_00149,d_002624,ip_006787,c_008633,none,none
u_00150,d_003299,ip_002712,c_003108,none,none
u_00151,d_004796,ip_002733,c_007557,none,none
u_00152,d_007362,ip_000605,c_007403,none,none
u_00153,d_007756,ip_001185,c_007554,none,none
u_00154,rd_04_00,rip_04_01,c_002024,none,none
u_00155,d_007155,ip_008945,c_005201,none,none
u_00156,d_007556,ip_002854,c_005121,none,none
u_00157,d_007698,ip_005364,c_006491,none,none
u_00158,d_008422,ip_005170,c_002698,none,none
u_00159,d_005524,ip_000689,c_001092,none,none
u_00160,d_000562,bip_015,c_002000,benign_015,office
u_00161,d_001115,ip_002655,c_005886,none,none
u_00162,d_008208,ip_003863,c_002474,none,none
u_00163,d_008982,ip_004902,c_000200,none,none
u_00164,d_001142,ip_002248,c_004098,none,none
u_00165,d_000958,ip_006708,c_003370,none,none
u_00166,d_004433,ip_005903,c_003989,none,none
u_00167,d_003800,ip_010480,c_002794,none,none
u_00168,d_008769,ip_000283,c_002894,none,none
u_00169,d_003197,ip_008331,c_003719,none,none
u_00170,rd_10_00,rip_10_00,rc_10_00,none,none
u_00171,d_004034,ip_000094,c_006102,none,none
u_00172,d_005447,ip_007107,c_003013,none,none
u_00173,d_008853,ip_009674,c_002319,none,none
u_00174,d_000770,ip_001026,c_000941,none,none
u_00175,d_003506,ip_002007,c_003921,none,none
u_00176,d_000448,ip_004057,c_003240,none,none
u_00177,d_002682,ip_001158,c_004501,none,none
u_00178,d_007693,ip_007559,c_004285,none,none
u_00179,d_002640,ip_000472,c_002907,none,none
u_00180,d_009372,ip_002136,c_004096,none,none
u_00181,d_002939,ip_003843,c_006541,none,none
u_00182,d_003301,ip_009156,c_002950,none,none
u_00183,d_002697,ip_003152,c_001689,none,none
u_00184,d_004860,ip_005801,c_008824,none,none
u_00185,d_000252,ip_005079,c_008021,none,none
u_00186,d_008678,ip_001017,c_002058,none,none
u_00187,d_005670,ip_007974,c_001787,none,none
u_00188,d_006889,ip_009097,c_003107,none,none
u_00189,d_000544,ip_001702,rc_13_00,none,none
u_00190,d_008880,ip_001773,c_008874,none,none
u_00191,d_006412,ip_006850,c_008101,none,none
u_00192,d_008152,ip_001260,c_008563,none,none
u_00193,d_003107,ip_004461,c_002700,none,none
u_00194,d_008460,ip_007513,c_007965,none,none
u_00195,d_005249,ip_007178,c_000527,none,none
u_00196,d_005249,ip_001387,c_003433,none,none
u_00197,d_001628,ip_007562,c_005418,none,none
u_00198,d_009160,ip_004171,c_005321,none,none
u_00199,d_000029,ip_008763,c_006280,none,none
u_00200,d_001569,ip_009754,c_005125,none,none
u_00201,d_007331,ip_000961,c_007376,none,none
u_00202,d_009766,ip_000767,c_003814,none,none
u_00203,d_005617,ip_010200,c_003543,none,none
u_00204,d_007136,ip_000920,c_004443,none,none
u_00205,d_003702,ip_005975,c_008628,none,none
u_00206,d_000830,ip_001754,c_008072,none,none
u_00207,d_009119,ip_006367,c_002775,none,none
u_00208,d_007219,rip_19_00,c_006855,none,none
u_00209,d_009371,ip_000674,c_001008,none,none
u_00210,d_003795,ip_006140,c_001082,none,none
u_00211,d_004367,ip_005656,c_001212,none,none
u_00212,d_005751,ip_007476,c_005224,none,none
u_00213,d_002753,ip_004319,c_005689,none,none
u_00214,d_006671,ip_003836,c_007783,none,none
u_00215,d_000732,ip_007045,c_006216,none,none
u_00216,d_002634,ip_002534,c_000186,none,none
u_00217,d_000218,ip_005348,c_008667,none,none
u_00218,d_003585,ip_009784,c_000685,none,none
u_00219,d_001016,ip_007030,c_003532,none,none
u_00220,d_001190,ip_010021,c_006922,none,none
u_00221,d_006797,ip_002678,c_008170,none,none
u_00222,d_009453,ip_004211,c_005586,none,none
u_00223,d_004041,ip_008501,c_006462,none,none
u_00224,d_006866,ip_006535,c_001481,none,none
u_00225,d_002707,ip_004743,c_001436,none,none
u_00226,d_000095,ip_005980,c_002506,none,none
u_00227,d_005456,ip_009106,c_000637,none,none
u_00228,rd_12_01,rip_12_01,c_006771,none,none
u_00229,d_002737,ip_004860,c_005404,none,none
u_00230,d_004715,ip_009708,c_005714,none,none
u_00231,d_008929,ip_003743,c_008241,none,none
u_00232,d_004169,ip_009885,c_005340,none,none
u_00233,d_006229,ip_002609,c_008684,none,none
u_00234,d_007312,rip_08_00,rc_08_00,none,none
u_00235,d_000738,bip_027,c_004376,benign_027,office
u_00236,rd_03_00,ip_000192,c_006509,none,none
u_00237,d_006904,ip_007680,c_001897,none,none
u_00238,d_008405,ip_008440,c_000988,none,none
u_00239,d_007047,ip_003141,c_006598,none,none
u_00240,d_004049,ip_006982,c_008371,none,none
u_00241,d_007778,ip_002289,c_005485,none,none
u_00242,d_005525,bip_000,c_001000,benign_000,coworking
u_00243,d_006625,ip_010441,c_007118,none,none
u_00244,d_009771,ip_001609,c_000914,none,none
u_00245,d_009881,ip_003931,c_004090,none,none
u_00246,d_000085,ip_006041,c_000460,none,none
u_00247,d_008230,ip_005015,c_004798,none,none
u_00248,d_001784,ip_007149,c_000102,none,none
u_00249,d_004213,ip_005407,c_001552,none,none
u_00250,d_003028,ip_002679,c_001600,none,none
u_00251,d_001431,ip_004932,c_004081,none,none
u_00252,d_003761,ip_009274,c_008347,none,none
u_00253,d_001255,ip_009110,c_001329,none,none
u_00254,d_006439,ip_007869,c_002298,none,none
u_00255,d_004140,ip_005416,c_002942,none,none
u_00256,d_008115,ip_009234,c_000685,none,none
u_00257,d_004637,ip_000588,c_002872,none,none
u_00258,d_009871,ip_006157,c_007335,none,none
u_00259,d_006249,ip_006346,c_001803,none,none
u_00260,d_006199,ip_003368,c_007543,none,none
u_00261,d_001022,ip_002974,c_005692,none,none
u_00262,d_000861,ip_005291,c_003031,none,none
u_00263,d_009000,ip_008103,c_003131,none,none
u_00264,d_004386,ip_004770,c_008719,none,none
u_00265,d_006360,ip_006823,c_007440,none,none
u_00266,d_004037,ip_005423,c_000511,none,none
u_00267,d_007541,ip_005856,rc_15_00,none,none
u_00268,d_001191,ip_002423,c_006510,none,none
u_00269,d_001034,ip_003593,c_000356,none,none
u_00270,d_000542,ip_006599,c_004205,none,none
u_00271,d_005661,ip_009871,c_001601,none,none
u_00272,d_003157,ip_002313,c_002455,none,none
u_00273,d_005605,ip_007268,c_000892,none,none
u_00274,d_001281,ip_006422,c_004080,none,none
u_00275,d_007777,ip_010417,c_007523,none,none
u_00276,d_007137,ip_000741,c_001144,none,none
u_00277,d_007867,ip_006472,c_002163,none,none
u_00278,d_003167,ip_006501,c_002179,none,none
u_00279,d_005483,ip_003211,c_005724,none,none
u_00280,d_003186,ip_005275,c_005648,none,none
u_00281,d_002106,ip_004925,c_004491,none,none
u_00282,d_005880,ip_005605,c_005249,none,none
u_00283,d_003487,ip_000925,c_003854,none,none
u_00284,d_007973,ip_009373,c_004458,none,none
u_00285,d_001339,ip_001958,c_007609,none,none
u_00286,d_001707,ip_000049,c_000404,none,none
u_00287,d_003139,ip_006994,c_001843,none,none
u_00288,d_009979,ip_001143,c_006946,none,none
u_00289,d_007399,ip_007880,c_007871,none,none
u_00290,d_009425,ip_007042,c_001862,none,none
u_00291,d_008706,ip_008330,c_007448,none,none
u_00292,d_002040,ip_001374,c_004970,none,none
u_00293,d_001261,ip_002988,c_007270,none,none
u_00294,d_005660,ip_004207,c_003175,none,none
u_00295,d_003783,ip_001011,c_004121,none,none
u_00296,d_002655,ip_006777,c_003605,none,none
u_00297,d_002478,ip_002842,c_003845,none,none
u_00298,d_005804,ip_004454,c_000428,none,none
u_00299,d_009429,ip_008547,c_005904,none,none
u_00300,d_003112,ip_002029,c_008275,none,none
u_00301,d_000143,ip_002939,c_006073,none,none
u_00302,d_000535,ip_005942,c_008735,none,none
u_00303,d_003373,ip_001622,c_000909,none,none
u_00304,d_002588,ip_007057,c_008505,none,none
u_00305,d_000524,ip_008674,c_006831,none,none
u_00306,d_000615,bip_025,c_007680,benign_025,family
u_00307,d_006050,ip_003037,c_003512,none,none
u_00308,d_004188,ip_005576,c_003094,none,none
u_00309,d_005346,ip_008716,c_003250,none,none
u_00310,d_001898,ip_000417,c_003838,none,none
u_00311,d_009710,bip_000,c_002128,benign_000,coworking
u_00312,d_007183,ip_005254,c_004771,none,none
u_00313,d_007933,ip_003407,c_002182,none,none
u_00314,d_005124,ip_000634,c_002434,none,none
u_00315,d_001439,ip_002144,c_005990,none,none
u_00316,d_007754,ip_008217,c_008838,none,none
u_00317,d_004607,ip_003232,c_004995,none,none
u_00318,d_001123,ip_006668,c_006126,none,none
u_00319,d_004513,ip_009765,c_004037,none,none
u_00320,d_009555,ip_006750,c_002853,none,none
u_00321,d_005149,ip_006739,c_004237,none,none
u_00322,rd_00_00,rip_00_01,c_003422,none,none
u_00323,d_009190,ip_007449,c_005048,none,none
u_00324,d_002406,ip_000830,c_001985,none,none
u_00325,d_003664,ip_006646,c_005220,none,none
u_00326,rd_03_00,rip_03_00,c_007038,none,none
u_00327,d_007418,ip_007381,c_000706,none,none
u_00328,d_008335,ip_000883,c_006244,none,none
u_00329,d_000129,ip_000831,c_002290,none,none
u_00330,d_007693,ip_009071,c_001028,none,none
u_00331,d_001147,ip_008222,c_002973,none,none
u_00332,d_001080,ip_002105,c_006564,none,none
u_00333,d_001369,ip_000021,c_003702,none,none
u_00334,d_000105,ip_004281,c_000951,none,none
u_00335,d_006801,ip_000825,c_003039,none,none
u_00336,d_008629,ip_004142,c_005921,none,none
u_00337,d_008634,bip_022,c_004208,benign_022,student_house
u_00338,d_006687,ip_009357,c_007576,none,none
u_00339,d_009540,ip_003888,c_005399,none,none
u_00340,d_009324,ip_003129,c_007365,none,none
u_00341,d_001073,ip_000518,c_006616,none,none
u_00342,d_000115,ip_002095,c_007705,none,none
u_00343,d_009105,ip_004281,c_008733,none,none
u_00344,d_002837,ip_003166,c_007611,none,none
u_00345,d_001919,bip_017,c_000151,benign_017,coworking
u_00346,d_004804,ip_009774,c_002416,none,none
u_00347,d_008187,bip_002,c_005415,benign_002,office
u_00348,d_000288,ip_002029,c_002661,none,none
u_00349,d_002600,ip_002241,c_000385,none,none
u_00350,d_006108,ip_009919,c_002724,none,none
u_00351,d_000522,ip_001200,c_007470,none,none
u_00352,d_008268,ip_001798,c_006337,none,none
u_00353,d_006345,ip_006077,c_008738,none,none
u_00354,d_001694,ip_000145,c_003233,none,none
u_00355,d_003925,ip_008538,c_008959,none,none
u_00356,d_008535,ip_001761,c_006361,none,none
u_00357,d_004958,ip_006408,c_001175,none,none
u_00358,d_001085,ip_004676,c_007858,none,none
u_00359,d_008140,ip_008122,c_008095,none,none
u_00360,d_009753,ip_002682,c_000258,none,none
u_00361,d_008155,ip_000588,c_000007,none,none
u_00362,d_006540,ip_003459,c_004724,none,none
u_00363,d_000248,ip_006765,c_006240,none,none
u_00364,d_000962,ip_002425,c_004116,none,none
u_00365,d_003915,ip_004005,c_002690,none,none
u_00366,d_002047,ip_004279,c_007693,none,none
u_00367,d_008066,ip_010140,c_003873,none,none
u_00368,bd_028,bip_028,c_006382,benign_028,family
u_00369,d_009221,ip_000140,c_007229,none,none
u_00370,d_002582,ip_004646,c_005947,none,none
u_00371,d_002052,ip_002030,c_002627,none,none
u_00372,d_007307,ip_000599,c_002437,none,none
u_00373,d_001375,ip_005661,c_003494,none,none
u_00374,d_009113,ip_003233,c_005112,none,none
u_00375,d_009564,ip_001167,c_008344,none,none
u_00376,d_007610,ip_002984,c_003636,none,none
u_00377,d_006540,ip_006934,c_006650,none,none
u_00378,d_000648,ip_008776,c_000644,none,none
u_00379,d_004936,ip_001200,c_006678,none,none
u_00380,d_005089,ip_006389,c_008682,none,none
u_00381,d_000021,ip_007407,c_006744,none,none
u_00382,d_002129,ip_002090,c_005357,none,none
u_00383,d_002992,ip_001839,c_002464,none,none
u_00384,d_005535,ip_001517,c_005208,none,none
u_00385,d_008403,ip_001077,c_007585,none,none
u_00386,d_004318,ip_010249,c_005661,none,none
u_00387,d_003838,ip_010436,c_008393,none,none
u_00388,d_002836,ip_008175,c_001148,none,none
u_00389,d_003150,ip_004815,c_004311,none,none
u_00390,d_009536,ip_002821,c_000149,none,none
u_00391,d_005265,ip_009385,c_005378,none,none
u_00392,d_000077,ip_007308,c_003444,none,none
u_00393,d_007468,ip_005170,c_001171,none,none
u_00394,d_003632,ip_000985,c_008095,none,none
u_00395,d_007519,ip_008461,c_007395,none,none
u_00396,d_002288,ip_006268,c_007325,none,none
u_00397,d_002026,ip_008317,c_006899,none,none
u_00398,d_006276,ip_009244,c_006389,none,none
u_00399,d_007232,ip_001936,c_003972,none,none
u_00400,d_003513,ip_009001,c_001731,none,none
u_00401,d_005354,bip_005,c_007323,benign_005,office
u_00402,d_000991,ip_005945,c_005768,none,none
u_00403,d_006954,ip_001139,c_007363,none,none
u_00404,d_003595,ip_001499,c_002854,none,none
u_00405,d_009327,ip_000055,c_000993,none,none
u_00406,d_006087,ip_008382,c_000247,none,none
u_00407,d_004999,ip_003264,c_004239,none,none
u_00408,d_006252,ip_000409,c_007839,none,none
u_00409,d_002912,ip_002094,c_002482,none,none
u_00410,d_004047,ip_005979,c_002581,none,none
u_00411,d_005603,ip_005959,c_006401,none,none
u_00412,rd_13_01,ip_002978,rc_13_00,none,none
u_00413,d_000762,ip_009444,c_002138,none,none
u_00414,d_005088,ip_004996,c_001337,none,none
u_00415,d_007357,ip_008992,c_008550,none,none
u_00416,d_006175,ip_010316,c_006337,none,none
u_00417,d_009288,ip_005352,c_006909,none,none
u_00418,d_007083,ip_006228,c_006653,none,none
u_00419,d_007300,ip_007025,c_000434,none,none
u_00420,d_000804,ip_007361,c_000912,none,none
u_00421,d_009943,ip_007622,c_008662,none,none
u_00422,d_001561,ip_006904,c_007643,none,none
u_00423,d_002223,ip_001684,c_007934,none,none
u_00424,d_001681,ip_003105,c_004922,none,none
u_00425,d_001377,ip_009443,c_008295,none,none
u_00426,d_000709,ip_002179,c_001183,none,none
u_00427,d_003037,ip_005480,c_003888,none,none
u_00428,d_008570,ip_006487,c_007516,none,none
u_00429,d_003304,ip_010080,c_000604,none,none
u_00430,d_009159,ip_005783,c_001827,none,none
u_00431,d_003675,ip_000148,c_008604,none,none
u_00432,d_004493,ip_002595,c_006970,none,none
u_00433,d_005657,ip_004792,c_003675,none,none
u_00434,d_007928,bip_024,c_008178,benign_024,office
u_00435,d_001776,ip_007914,c_006990,none,none
u_00436,d_005159,ip_008112,c_003462,none,none
u_00437,d_006760,ip_004196,c_001041,none,none
u_00438,d_004750,ip_008374,c_006685,none,none
u_00439,d_009233,ip_002158,c_004533,none,none
u_00440,d_004823,ip_002537,c_002709,none,none
u_00441,d_000504,ip_008276,c_005775,none,none
u_00442,d_003078,ip_002692,c_002035,none,none
u_00443,d_005262,ip_009922,c_000290,none,none
u_00444,d_001409,ip_009871,c_007770,none,none
u_00445,d_009889,ip_001043,c_000030,none,none
u_00446,bd_022,bip_022,c_002971,benign_022,student_house
u_00447,d_001902,ip_010389,c_005103,none,none
u_00448,d_006214,ip_004280,c_004388,none,none
u_00449,d_006088,ip_003090,c_000809,none,none
u_00450,d_000952,ip_003586,c_004061,none,none
u_00451,d_000488,ip_005516,c_000125,none,none
u_00452,d_006686,ip_004709,c_006905,none,none
u_00453,d_003159,ip_009092,c_000385,none,none
u_00454,d_003713,ip_005607,c_001396,none,none
u_00455,d_002813,ip_010440,c_001658,none,none
u_00456,d_002753,ip_000697,c_007798,none,none
u_00457,d_004039,ip_004079,c_002246,none,none
u_00458,d_006769,ip_005863,c_002740,none,none
u_00459,d_000956,ip_004362,c_007144,none,none
u_00460,d_000701,ip_009373,c_004448,none,none
u_00461,d_008322,ip_000118,c_004193,none,none
u_00462,d_007498,ip_002919,c_000728,none,none
u_00463,d_007996,ip_007906,c_003614,none,none
u_00464,d_005374,ip_002535,c_004902,none,none
u_00465,rd_12_00,rip_12_02,c_002748,none,none
u_00466,d_004772,ip_002326,c_005625,none,none
u_00467,d_001450,ip_006733,c_003749,none,none
u_00468,d_000012,ip_004370,c_006199,none,none
u_00469,d_002835,ip_002152,c_003723,none,none
u_00470,d_004223,ip_002007,c_005381,none,none
u_00471,d_002931,ip_005517,c_002807,none,none
u_00472,d_009652,ip_007159,c_008077,none,none
u_00473,d_001519,ip_002777,c_008415,none,none
u_00474,d_009281,ip_007345,c_005706,none,none
u_00475,d_009841,ip_007514,c_001735,none,none
u_00476,d_006610,ip_000332,c_006875,none,none
u_00477,d_009169,ip_010232,c_006385,none,none
u_00478,d_005977,ip_006944,c_008843,none,none
u_00479,d_004273,ip_000420,c_002323,none,none
u_00480,d_002220,ip_007119,c_001839,none,none
u_00481,d_006232,ip_001690,c_004368,none,none
u_00482,d_004992,ip_004609,c_000219,none,none
u_00483,d_009693,ip_006616,c_007241,none,none
u_00484,d_003265,ip_006579,c_003678,none,none
u_00485,d_007480,ip_003545,c_002475,none,none
u_00486,d_003143,ip_004619,c_003855,none,none
u_00487,d_005102,ip_003708,c_003814,none,none
u_00488,d_000920,ip_005350,c_006131,none,none
u_00489,d_000466,ip_005595,c_004182,none,none
u_00490,d_004748,ip_006968,c_007498,none,none
u_00491,d_009285,ip_010013,c_001133,none,none
u_00492,d_007806,ip_005266,c_000950,none,none
u_00493,d_009916,ip_005816,c_002937,none,none
u_00494,d_005538,ip_002321,c_003380,none,none
u_00495,d_004876,ip_001950,c_000635,none,none
u_00496,d_008918,ip_001474,c_000743,none,none
u_00497,d_008012,ip_008777,c_003946,none,none
u_00498,d_001469,ip_006003,c_003788,none,none
u_00499,d_006387,ip_003752,c_008498,none,none
u_00500,d_005135,ip_004479,c_004646,none,none
u_00501,d_004886,bip_005,c_000227,benign_005,office
u_00502,d_008102,ip_000854,c_006414,none,none
u_00503,d_004647,ip_005895,c_003958,none,none
u_00504,d_004383,ip_006896,c_001392,none,none
u_00505,d_002774,ip_008212,c_000513,none,none
u_00506,d_005122,ip_005428,c_004280,none,none
u_00507,d_005576,ip_008617,c_000926,none,none
u_00508,d_003845,ip_008473,c_001423,none,none
u_00509,d_001636,ip_009698,c_001657,none,none
u_00510,d_003497,ip_008532,c_006434,none,none
u_00511,d_001933,ip_007808,c_005630,none,none
u_00512,d_007186,ip_006654,c_003998,none,none
u_00513,d_008666,ip_001669,c_006302,none,none
u_00514,d_003677,ip_000628,c_002861,none,none
u_00515,d_002018,ip_005753,c_007428,none,none
u_00516,d_001089,ip_003387,c_004345,none,none
u_00517,d_008641,ip_003835,c_008362,none,none
u_00518,d_005006,ip_001023,c_008936,none,none
u_00519,d_004551,ip_004786,c_005299,none,none
u_00520,d_000157,ip_008075,c_005101,none,none
u_00521,d_004581,ip_003864,c_002267,none,none
u_00522,d_006198,ip_001244,c_008641,none,none
u_00523,d_004566,ip_001294,c_004061,none,none
u_00524,d_001118,ip_007246,c_000182,none,none
u_00525,rd_15_00,rip_15_01,c_004744,none,none
u_00526,d_009865,ip_004324,c_001415,none,none
u_00527,d_001024,ip_003956,c_005086,none,none
u_00528,d_008102,ip_010317,c_008834,none,none
u_00529,d_000748,ip_007479,c_006367,none,none
u_00530,d_004018,ip_000084,c_003414,none,none
u_00531,d_000155,ip_005525,c_008015,none,none
u_00532,d_007482,ip_004865,c_001179,none,none
u_00533,d_004957,ip_004936,c_001785,none,none
u_00534,d_009020,ip_003562,c_008153,none,none
u_00535,d_006370,ip_002263,c_001762,none,none
u_00536,d_000249,ip_007657,c_005384,none,none
u_00537,d_008545,ip_000394,rc_09_01,none,none
u_00538,d_003955,ip_001880,c_002076,none,none
u_00539,d_004973,ip_003920,c_007759,none,none
u_00540,d_001733,ip_001847,c_007969,none,none
u_00541,d_007826,ip_003994,c_003445,none,none
u_00542,d_002077,ip_006983,c_007939,none,none
u_00543,d_001362,ip_001157,c_003336,none,none
u_00544,rd_19_00,rip_19_00,c_002937,none,none
u_00545,d_000318,rip_04_01,c_004559,none,none
u_00546,d_007760,ip_004350,c_007301,none,none
u_00547,d_002121,ip_001013,c_007126,none,none
u_00548,d_004511,ip_006422,c_006851,none,none
u_00549,d_009608,ip_006413,c_000367,none,none
u_00550,d_006872,ip_000980,c_005471,none,none
u_00551,d_003041,ip_003841,c_005439,none,none
